trial,outcome,oxygen,events_toci,total_toci,events_control,total_control
REMAP-CAP,mortality,non-invasive ventilation,53,242,82,273
REMAP-CAP,mortality,invasive ventilation,45,108,60,124
REMAP-CAP,discharge,pooled non-invasive or invasive ventilation,190,353,184,402
CORIMUNO-19,mortality,simple oxygen,7,63,8,67
CORIMUNO-19,discharge,simple oxygen,52,63,49,67
COVACTA,mortality,simple oxygen,9,78,2,44
COVACTA,mortality,non-invasive ventilation,18,94,12,39
COVACTA,mortality,invasive ventilation,31,113,14,55
COVACTA,discharge,simple oxygen,66,78,35,44
COVACTA,discharge,non-invasive ventilation,56,94,19,39
COVACTA,discharge,invasive ventilation,35,113,13,55
TOCIBRAS,mortality,"pooled simple, non-invasive or invasive ventilation",14,65,6,64
TOCIBRAS,discharge,"pooled simple, non-invasive or invasive ventilation",42,65,48,64
Salvarini,mortality,non-invasive ventilation,2,60,1,63
Salvarini,discharge,non-invasive ventilation,54,60,58,63
RECOVERY,mortality,simple oxygen,180,935,214,933
RECOVERY,mortality,non-invasive ventilation,310,819,366,867
RECOVERY,mortality,invasive ventilation,131,268,149,294
RECOVERY,discharge,simple oxygen,697,935,635,933
RECOVERY,discharge,non-invasive ventilation,401,819,362,867
RECOVERY,discharge,invasive ventilation,52,268,47,294
